time fcrackzip -v -u -D -p passwords.txt matryoshka-*.zip

0: m4try0shk4#QW0627
1: m4try0shk4#WA7346
2: m4try0shk4#Vr3499
3: m4try0shk4#iw8414
4: m4try0shk4#cO7155
5: m4try0shk4#Rv2030
6: m4try0shk4#oD0654
7: m4try0shk4#Va6184
8: m4try0shk4#Cy3951
9: m4try0shk4#od1561
10: m4try0shk4#uM1361
11: m4try0shk4#UO7691
12: m4try0shk4#Df0121
13: m4try0shk4#yW2660
14: m4try0shk4#YG5710
15: m4try0shk4#oS2737
16: m4try0shk4#St4807
17: m4try0shk4#CO0247
18: m4try0shk4#pO7658
29: m4try0shk4#he6477
20: m4try0shk4#Hk8345
21: m4try0shk4#Zs4263
22: m4try0shk4#Tn3275
23: m4try0shk4#mr6877
24: m4try0shk4#lB2719
25: m4try0shk4#tK4925
26: m4try0shk4#IW0644
27: m4try0shk4#Dy2310
28: m4try0shk4#fS0533
29: m4try0shk4#qN7017
30: m4try0shk4#RD4374
31: m4try0shk4#eg6040
32: m4try0shk4#wp8423
33: m4try0shk4#Vk6493
34: m4try0shk4#Aj1051
35: m4try0shk4#xv6434
36: m4try0shk4#QH2335
37: m4try0shk4#eI2904
38: m4try0shk4#KW1551
39: m4try0shk4#sH8555
40: m4try0shk4#ut3184
41: m4try0shk4#GL9321
42: m4try0shk4#jD1227
43: m4try0shk4#HF0167
44: m4try0shk4#HJ0386
45: m4try0shk4#qg0992
46: m4try0shk4#Ra4796
47: m4try0shk4#IF0313
48: m4try0shk4#lE6080
49: m4try0shk4#CL8304
50: m4try0shk4#tc3410
51: m4try0shk4#cg4029
52: m4try0shk4#oK3119
53: m4try0shk4#kw1907
54: m4try0shk4#Lt9745
55: m4try0shk4#pJ1744
56: m4try0shk4#ip3692
57: m4try0shk4#UH4030
58: m4try0shk4#Zj2026
59: m4try0shk4#Fo4576
60: m4try0shk4#lz2087
61: m4try0shk4#tN8247
62: m4try0shk4#lO2033
63: m4try0shk4#ry4985
64: m4try0shk4#RA1922
65: m4try0shk4#cy4040
66: m4try0shk4#ey7527
67: m4try0shk4#Dw4718
68: m4try0shk4#LG8916
69: m4try0shk4#LB8802
70: m4try0shk4#tO6662
71: m4try0shk4#WQ1830
72: m4try0shk4#UW3001
73: m4try0shk4#LP1824
74: m4try0shk4#Tf4853
75: m4try0shk4#QD0014
76: m4try0shk4#tm7463
77: m4try0shk4#lC8515
78: m4try0shk4#bS1838
79: m4try0shk4#jL6318
80: m4try0shk4#xQ0196
81: m4try0shk4#as9950
82: m4try0shk4#Ny7455
83: m4try0shk4#mT0176
84: m4try0shk4#NF3770
85: m4try0shk4#Ua5003
86: m4try0shk4#mW8532
87: m4try0shk4#KY8633
88: m4try0shk4#Kk2397
89: m4try0shk4#mO5563
